ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Residence (Rural),Residence (Urban),Wealth quintile (Poorest),Wealth quintile (Richest),Time period
SLE,Sierra Leone,SSA,WCA,Low income (L),14%,4%,26%,0%,38%,2017
SOM,Somalia,SSA,ESA,Low income (L),13%,100%,100%,100%,100%,2017-2018
ZAF,South Africa,SSA,ESA,Upper middle income (UM),20%,,,,,2014-2015
SSD,South Sudan,SSA,ESA,Low income (L),0%,0%,1%,0%,2%,2010
LKA,Sri Lanka,SA,SA,Upper middle income (UM),69%,67%,84%,71%,99%,2012
SDN,Sudan,SSA,ESA,Lower middle income (LM),3%,1%,9%,0%,18%,2014
SUR,Suriname,LAC,LAC,Upper middle income (UM),50%,35%,57%,19%,91%,2018
TJK,Tajikistan,ECA,EECA,Low income (L),23%,19%,37%,7%,44%,2017
THA,Thailand,EAP,EAP,Upper middle income (UM),75%,70%,82%,51%,98%,3562
MKD,North Macedonia,ECA,EECA,Upper middle income (UM),92%,91%,92%,68%,100%,2018-2019
TGO,Togo,SSA,WCA,Low income (L),24%,8%,49%,0%,78%,2017
TGO,Togo,SSA,WCA,Low income (L),24%,8%,49%,0%,78%,2017
TGO,Togo,SSA,WCA,Low income (L),24%,8%,49%,0%,78%,2017
TON,Tonga,EAP,EAP,Upper middle income (UM),92%,91%,93%,83%,97%,2019
TTO,Trinidad and Tobago,LAC,LAC,High income (H),47%,38%,54%,4%,93%,2011
TUN,Tunisia,MENA,MENA,Lower middle income (LM),41%,22%,50%,15%,85%,2018
TUR,Turkey,ECA,EECA,Upper middle income (UM),39%,14%,47%,2%,94%,2013
TKM,Turkmenistan,ECA,EECA,Upper middle income (UM),47%,36%,59%,30%,80%,2019
UGA,Uganda,SSA,ESA,Low income (L),0%,0%,1%,0%,1%,2015
UKR,Ukraine,ECA,EECA,Lower middle income (LM),66%,,66%,,,2013
GBR,United Kingdom,ECA,WE,High income (H),99%,,,,,2016
URY,Uruguay,LAC,LAC,High income (H),66%,46%,68%,28%,66%,2012-2099
UZB,Uzbekistan,ECA,EECA,Lower middle income (LM),18%,14%,31%,1%,70%,2017
VNM,Viet Nam,EAP,EAP,Lower middle income (LMM),45%,17%,62%,11%,82%,2012
ZMB,Zambia,SSA,ESA,Lower middle income (LM),8%,2%,16%,0%,31%,2018-2019
ZWE,Zimbabwe,SSA,ESA,Lower middle income (LM),24%,17%,50%,4%,65%,2018-2019
